homeTeam,pointsHomeTeam,awayTeam,pointsAwayTeam,dateGame
Orlando Magic,108,Denver Nuggets,103,2021-12-02
Boston Celtics,88,Philadelphia 76ers,87,2021-12-02
Indiana Pacers,111,Atlanta Hawks,114,2021-12-02
Miami Heat,85,Cleveland Cavaliers,111,2021-12-02
Milwaukee Bucks,127,Charlotte Hornets,125,2021-12-02
Washington Wizards,115,Minnesota Timberwolves,107,2021-12-02
New Orleans Pelicans,107,Dallas Mavericks,139,2021-12-02
Toronto Raptors,91,Memphis Grizzlies,98,2021-12-01
LA Clippers,115,Sacramento Kings,124,2021-12-02
Brooklyn Nets,112,New York Knicks,110,2021-12-01
Phoenix Suns,104,Golden State Warriors,96,2021-12-01
Philadelphia 76ers,101,Orlando Magic,96,2021-11-30
Portland Trail Blazers,110,Detroit Pistons,92,2021-12-01
Chicago Bulls,133,Charlotte Hornets,119,2021-11-30
Sacramento Kings,92,Los Angeles Lakers,117,2021-12-01
Minnesota Timberwolves,100,Indiana Pacers,98,2021-11-30
Miami Heat,111,Denver Nuggets,120,2021-11-30
Dallas Mavericks,96,Cleveland Cavaliers,114,2021-11-30
San Antonio Spurs,116,Washington Wizards,99,2021-11-30
Houston Rockets,102,Oklahoma City Thunder,89,2021-11-30
LA Clippers,90,Golden State Warriors,105,2021-11-28
Utah Jazz,129,Portland Trail Blazers,107,2021-11-30
LA Clippers,104,New Orleans Pelicans,123,2021-11-30
Toronto Raptors,97,Boston Celtics,109,2021-11-28
Indiana Pacers,100,Milwaukee Bucks,118,2021-11-28
Philadelphia 76ers,120,Minnesota Timberwolves,121,2021-11-27
Atlanta Hawks,90,New York Knicks,99,2021-11-28
Memphis Grizzlies,128,Sacramento Kings,101,2021-11-28
Brooklyn Nets,107,Phoenix Suns,113,2021-11-28
Chicago Bulls,104,Miami Heat,107,2021-11-28
Houston Rockets,146,Charlotte Hornets,143,2021-11-28
Dallas Mavericks,114,Washington Wizards,120,2021-11-28
LA Clippers,107,Detroit Pistons,96,2021-11-26
Charlotte Hornets,133,Minnesota Timberwolves,115,2021-11-27
Orlando Magic,88,Chicago Bulls,123,2021-11-27
Utah Jazz,127,New Orleans Pelicans,105,2021-11-28
Los Angeles Lakers,110,Detroit Pistons,106,2021-11-29
New York Knicks,97,Phoenix Suns,118,2021-11-27
Cleveland Cavaliers,105,Orlando Magic,92,2021-11-28
San Antonio Spurs,96,Boston Celtics,88,2021-11-27
Denver Nuggets,109,Milwaukee Bucks,120,2021-11-27
Indiana Pacers,114,Toronto Raptors,97,2021-11-27
Memphis Grizzlies,100,Atlanta Hawks,132,2021-11-27
Golden State Warriors,118,Portland Trail Blazers,103,2021-11-27
Utah Jazz,97,New Orleans Pelicans,98,2021-11-27
Los Angeles Lakers,137,Sacramento Kings,141,2021-11-27
Orlando Magic,99,Charlotte Hornets,106,2021-11-25
Houston Rockets,118,Chicago Bulls,113,2021-11-25
Indiana Pacers,116,Los Angeles Lakers,124,2021-11-25
Cleveland Cavaliers,115,Phoenix Suns,120,2021-11-25
Memphis Grizzlies,113,Toronto Raptors,126,2021-11-25
Minnesota Timberwolves,113,Miami Heat,101,2021-11-25
San Antonio Spurs,106,Atlanta Hawks,124,2021-11-25
Oklahoma City Thunder,104,Utah Jazz,110,2021-11-25
Sacramento Kings,125,Portland Trail Blazers,121,2021-11-25
Golden State Warriors,116,Philadelphia 76ers,96,2021-11-25
Oklahoma City Thunder,110,Houston Rockets,114,2021-12-02
New Orleans Pelicans,127,Washington Wizards,102,2021-11-25
Oklahoma City Thunder,99,Washington Wizards,101,2021-11-27
Boston Celtics,104,Brooklyn Nets,123,2021-11-25
Milwaukee Bucks,114,Detroit Pistons,93,2021-11-25
